,자치구,발생 합계,검거 합계
0,중구,2860,1716
1,종로구,2472,1589
2,중구,2094,1226
3,서대문구,4029,2579
4,종로구,2233,1354
5,용산구,3820,2483
6,성북구,2237,1498
7,동대문구,4720,3205
8,마포구,5854,3597
9,영등포구,6867,4154
10,성동구,3358,2123
11,동작구,4074,2397
12,광진구,5909,3707
13,은평구,2085,1393
14,강북구,4257,3113
15,금천구,3781,2796
16,중랑구,5193,3405
17,강남구,5194,3370
18,관악구,6345,3712
19,강서구,5585,4190
20,강동구,5244,3171
21,성북구,1917,1231
22,구로구,5646,3502
23,서초구,4183,2714
24,양천구,4528,2815
25,송파구,6778,4113
26,노원구,5130,3268
27,서초구,1261,736
28,은평구,2660,1774
29,도봉구,2664,1900
30,강남구,3423,2362
